supplier_id,country,cost,delivery_time,reliability_score,defect_rate,delay_history,risk_label
SUP-0031,Japan,137.7,5.89,84.34,3.08,0,Low
SUP-0032,China,138.56,3,95.68,4.91,4,Medium
SUP-0033,Germany,102.75,17.26,99,3.88,7,Medium
SUP-0034,Brazil,104.73,19.38,78.03,4.67,6,Medium
SUP-0035,Mexico,57.79,9.78,84.47,3.75,6,Low
SUP-0036,Thailand,80.65,20.37,91.21,1.8,4,Medium
SUP-0037,India,97.14,19.01,80.01,1.88,3,Medium
SUP-0038,Thailand,140.82,30.65,83.68,3.93,5,High
SUP-0039,India,140.2,7.0,80.0,3.64,6,Medium
SUP-0040,Brazil,54.55,23.21,84.91,2.32,8,Medium
SUP-0041,Germany,89.28,24.46,83.72,2.13,4,Medium
SUP-0042,China,115.22,10.2,83.74,3.41,4,Medium
SUP-0043,China,121.0,15.23,99,6.07,6,Medium
SUP-0044,Brazil,122.53,15.97,84.24,5.41,1,Medium
SUP-0045,India,80.25,12.6,89.98,3.92,8,Medium
SUP-0046,India,63.28,14.94,91.34,5.08,7,Medium
SUP-0047,South Korea,144.24,12.64,90.57,2.5,7,Medium
SUP-0048,South Korea,140.88,22.07,86.53,1.29,10,Medium
SUP-0049,Japan,89.44,22.75,99,4.91,6,Medium
SUP-0050,Canada,78.48,8.57,99,3.74,3,Low
SUP-0051,South Korea,66.69,22.81,91.92,2.75,3,Medium
SUP-0052,Brazil,71.47,13.42,86.07,3.84,3,Low
SUP-0053,China,134.26,15.6,74.06,5.17,0,Medium
SUP-0054,Thailand,128.63,14.55,86.8,1.33,6,Medium
SUP-0055,Japan,87.49,15.43,79.41,1.85,3,Low
SUP-0056,China,148.6,6.59,83.34,1.93,8,Medium
SUP-0057,Japan,32.48,19.69,74.48,0.2,3,Low
SUP-0058,USA,78.15,12.86,90.48,3.46,1,Low
SUP-0059,Canada,75.56,15.23,62.79,3.54,5,Medium
SUP-0060,Brazil,77.46,10.42,72.09,6.08,8,Medium
SUP-0061,China,98.17,17.29,91.41,3.17,0,Medium
SUP-0062,Thailand,104.09,16.64,98.51,1.88,5,Medium
SUP-0063,USA,141.5,7.8,97.06,1.28,5,Low
SUP-0064,Canada,148.13,17.6,86.35,3.96,2,Medium
SUP-0065,Brazil,135.24,13.49,99,2.02,1,Low
SUP-0066,Brazil,63.91,11.22,85.96,4.06,2,Low
SUP-0067,China,98.61,7.96,78.4,2.14,6,Low
SUP-0068,India,106.51,15.6,81.45,3.86,6,Medium
SUP-0069,Japan,123.23,16.01,74.0,2.59,5,Medium
SUP-0070,Thailand,125.18,14.94,83.34,4.44,2,Medium
SUP-0071,India,86.03,18.74,98.77,1.21,1,Low
SUP-0072,Japan,83.38,10.02,84.59,1.52,5,Low
SUP-0073,South Korea,85.72,4.55,99,0.96,0,Low
SUP-0074,USA,81.09,18.57,89.33,3.64,3,Medium
SUP-0075,India,101.37,18.32,84.69,1.54,5,Medium
SUP-0076,Mexico,38.35,5.83,87.08,6.5,6,Low
SUP-0077,Mexico,103.5,6.88,84.65,0.2,5,Low
SUP-0078,Germany,100.78,11.57,84.82,4.59,4,Medium
SUP-0079,India,115.26,19.94,83.94,2.26,7,Medium
SUP-0080,USA,30,19.91,78.34,4.22,3,Medium
SUP-0081,Japan,135.81,17.52,80.77,2.5,5,Medium
SUP-0082,Mexico,37.12,15.85,71.62,4.79,5,Medium
SUP-0083,Mexico,67.61,13.83,94.89,0.74,10,Low
SUP-0084,Canada,142.0,12.58,73.69,2.6,0,Medium
SUP-0085,Brazil,100.17,8.48,90.14,1.21,4,Low
SUP-0086,China,115.23,16.75,78.94,0.99,5,Medium
SUP-0087,USA,68.42,14.16,74.67,3.11,4,Low
SUP-0088,China,119.27,8.34,79.86,3.4,6,Medium
SUP-0089,Brazil,97.36,6.35,76.93,1.62,5,Low
SUP-0090,Japan,82.22,11.72,96.39,1.18,5,Low
SUP-0091,Brazil,72.28,20.81,83.0,4.13,6,Medium
SUP-0092,Brazil,108.49,21.29,79.35,3.88,8,Medium
SUP-0093,Thailand,131.19,13.11,83.05,3.68,5,Medium
SUP-0094,USA,115.24,13.32,78.98,3.48,5,Medium
SUP-0095,Germany,62.52,7.63,85.26,3.14,4,Low
SUP-0096,USA,128.45,13.85,99,3.42,5,Medium
SUP-0097,Thailand,88.16,12.79,91.61,4.56,2,Medium
SUP-0098,South Korea,185.4,7.06,73.04,3.28,8,Medium
SUP-0099,Canada,83.28,20.37,72.31,3.84,10,Medium
SUP-0100,Japan,123.14,11.24,78.44,3.97,5,Medium
SUP-0101,Germany,127.82,14.09,77.1,2.31,5,Medium
SUP-0102,Canada,141.69,17.29,87.15,2.76,9,Medium
SUP-0103,Japan,61.46,16.84,70.89,0.38,5,Low
SUP-0104,China,84.76,6.29,73.51,4.42,3,Low
SUP-0105,China,72.72,3,72.33,2.99,5,Low
SUP-0106,India,99.14,13.09,82.61,3.3,8,Medium
SUP-0107,Thailand,207.56,8.01,80.28,1.95,9,Medium
SUP-0108,Canada,107.61,16.73,80.82,1.17,3,Low
SUP-0109,Mexico,64.81,14.96,81.97,3.64,6,Medium
SUP-0110,South Korea,121.17,16.46,72.36,1.75,5,Medium
SUP-0111,South Korea,132.01,6.99,99,3.02,4,Low
SUP-0112,Thailand,97.37,14.28,70.0,3.06,3,Medium
SUP-0113,China,52.03,16.93,99,5.79,3,Medium
SUP-0114,Brazil,80.98,19.1,84.88,3.46,9,Medium
SUP-0115,Mexico,84.6,11.69,91.58,2.49,4,Low
SUP-0116,Canada,65.12,14.25,96.65,0.48,8,Low
SUP-0117,Germany,110.84,10.97,86.58,1.5,7,Low
SUP-0118,China,80.66,12.57,65.15,1.07,3,Low
SUP-0119,Canada,68.2,12.9,72.14,2.4,2,Low
SUP-0120,Japan,102.32,10.72,80.82,3.07,4,Low
SUP-0121,South Korea,61.58,18.84,96.09,0.2,4,Low
SUP-0122,Thailand,95.24,12.87,88.0,3.39,4,Medium
SUP-0123,USA,89.69,8.94,80.74,2.28,0,Low
SUP-0124,South Korea,110.08,8.25,68.2,4.78,1,Medium
SUP-0125,India,51.17,6.53,71.56,3.14,3,Low
SUP-0126,China,80.23,22.29,83.73,2.38,5,Medium
SUP-0127,Mexico,51.69,16.67,86.52,2.74,5,Low
SUP-0128,Germany,71.04,14.19,94.3,2.61,3,Low
SUP-0129,Thailand,123.72,8.96,85.27,6.31,6,Medium
SUP-0130,China,121.12,8.66,65.45,1.79,5,Low
SUP-0131,Mexico,69.21,15.65,71.83,1.88,3,Low
SUP-0132,Japan,105.42,23.8,83.92,4.15,6,Medium
SUP-0133,China,120.07,13.81,98.51,2.7,4,Medium
SUP-0134,USA,133.3,21.0,75.19,4.61,0,Medium
SUP-0135,Japan,73.13,11.1,74.9,1.42,3,Low
SUP-0136,Germany,51.92,6.51,68.4,2.22,3,Low
SUP-0137,Thailand,84.48,15.99,91.5,2.28,3,Low
SUP-0138,India,105.17,3.14,79.74,3.56,3,Low
SUP-0139,Canada,119.57,13.15,96.4,1.03,4,Low
SUP-0140,Japan,97.35,19.12,71.64,6.89,4,Medium
SUP-0141,India,120.35,16.69,83.53,3.77,2,Medium
SUP-0142,South Korea,131.66,19.22,62.67,3.85,6,High
SUP-0143,India,113.28,12.2,99,4.08,6,Medium
SUP-0144,Germany,81.28,15.32,84.77,3.75,4,Medium
SUP-0145,Brazil,116.71,18.14,76.1,0.83,7,Medium
SUP-0146,Germany,84.59,19.48,74.38,4.04,2,Medium
SUP-0147,China,123.26,14.98,61.01,4.28,5,Medium
SUP-0148,Brazil,84.18,19.87,75.67,4.12,5,Medium
SUP-0149,Canada,112.37,15.88,66.97,0.2,7,Medium
SUP-0150,Thailand,103.44,16.61,99,1.12,3,Low
SUP-0151,Japan,86.97,16.49,84.61,2.93,5,Medium
SUP-0152,China,81.97,14.72,79.4,3.53,4,Medium
SUP-0153,Japan,90.46,13.53,83.5,3.78,3,Medium
SUP-0154,India,102.02,11.61,83.6,0.2,4,High
SUP-0155,Brazil,81.27,20.81,99,4.06,6,Medium
SUP-0156,Canada,69.1,15.84,85.83,2.57,4,Low
SUP-0157,Thailand,69.61,12.67,96.29,2.94,1,Low
SUP-0158,Mexico,106.73,18.37,72.41,3.28,1,Medium
SUP-0159,Canada,118.65,10.66,88.72,1.66,4,Low
SUP-0160,China,69.24,11.97,88.09,3.5,4,Low
SUP-0161,Mexico,49.91,17.43,80.32,3.57,10,Medium
SUP-0162,Mexico,122.66,5.39,94.81,4.47,4,Low
SUP-0163,USA,134.84,12.66,76.17,4.58,5,Medium
SUP-0164,Mexico,137.67,10.25,94.31,3.91,6,Medium
SUP-0165,South Korea,140.76,3,89.75,1.12,4,Low
SUP-0166,China,89.59,17.93,85.45,3.26,0,Medium
SUP-0167,Germany,121.52,9.28,79.51,3.48,4,Medium
SUP-0168,Japan,89.44,10.08,91.72,3.71,6,Low
SUP-0169,Thailand,43.84,8.11,93.37,5.08,5,Low
SUP-0170,South Korea,98.81,8.62,84.97,2.64,9,Low
SUP-0171,South Korea,129.65,18.83,73.8,1.99,4,Medium
SUP-0172,USA,114.77,18.23,84.41,3.2,6,Medium
SUP-0173,India,120.65,18.01,79.23,3.33,3,Medium
SUP-0174,India,90.59,22.94,92.7,3.28,5,Medium
SUP-0175,India,60.19,11.01,81.38,1.49,5,Low
SUP-0176,Thailand,99.08,6.59,87.8,1.96,7,Low
SUP-0177,South Korea,64.0,10.77,77.16,3.79,3,Low
SUP-0178,Brazil,117.84,9.88,74.87,3.9,9,Medium
SUP-0179,Germany,96.45,16.8,88.42,4.93,5,Medium
SUP-0180,Canada,51.29,7.72,86.89,1.01,3,Low
SUP-0181,Thailand,59.57,25.92,79.65,4.48,1,Medium
SUP-0182,Thailand,103.22,19.58,88.11,2.39,7,Medium
SUP-0183,Mexico,44.25,3.14,95.32,4.08,2,Low
SUP-0184,USA,121.24,5.34,89.66,2.24,3,Low
SUP-0185,Germany,126.68,12.56,91.12,0.35,6,Low
SUP-0186,USA,93.61,14.08,94.73,1.31,6,Low
SUP-0187,India,120.84,11.56,86.31,0.77,8,Low
SUP-0188,India,108.69,20.24,92.43,2.49,8,Medium
SUP-0189,Thailand,113.9,10.78,79.21,2.59,1,Low
SUP-0190,South Korea,158.64,19.41,95.38,4.65,6,Medium
SUP-0191,India,112.28,7.13,91.8,0.84,3,Low
SUP-0192,South Korea,61.3,13.04,83.9,1.67,10,Low
SUP-0193,Canada,144.37,35,88.71,4.04,5,High
SUP-0194,Brazil,60.3,18.4,86.13,3.08,3,Low
SUP-0195,Germany,114.4,20.97,68.71,0.71,4,Medium
SUP-0196,Japan,86.18,20.74,81.39,3.04,0,Medium
SUP-0197,Japan,75.09,22.47,65.37,3.55,0,Medium
SUP-0198,Canada,148.7,15.06,66.78,1.44,4,Medium
SUP-0199,Japan,100.18,11.41,84.0,5.15,7,Medium
SUP-0200,Brazil,67.87,16.43,77.41,3.1,3,Low
SUP-0201,Germany,101.41,12.09,99,1.53,9,Low
SUP-0202,South Korea,49.07,10.33,83.91,4.45,4,Low
SUP-0203,India,99.2,11.37,79.68,5.75,4,Medium
SUP-0204,Canada,79.53,5.86,69.59,4.04,5,Low
SUP-0205,Thailand,80.66,13.58,81.99,4.23,7,Medium
SUP-0206,Canada,104.25,22.79,91.32,1.14,5,Medium
SUP-0207,Thailand,95.85,16.78,71.53,3.89,5,Medium
SUP-0208,Mexico,126.09,9.32,82.61,4.8,4,Medium
SUP-0209,Brazil,66.86,12.34,70.04,3.4,6,Low
SUP-0210,India,92.27,14.41,98.61,4.58,7,Medium
SUP-0211,Germany,131.25,15.73,86.41,2.14,5,Medium
SUP-0212,Germany,62.03,14.68,80.66,3.27,2,Low
SUP-0213,USA,110.96,3.93,80.55,4.18,1,Low
SUP-0214,USA,127.91,14.07,77.49,1.37,8,Medium
SUP-0215,India,87.18,22.87,74.67,3.59,0,Medium
SUP-0216,Germany,122.77,8.14,84.28,4.61,3,Medium
SUP-0217,South Korea,130.84,17.23,89.51,1.31,4,Medium
SUP-0218,China,106.05,6.5,89.3,3.81,7,Low
SUP-0219,India,70.94,10.47,72.67,0.96,8,Low
SUP-0220,Brazil,110.78,16.38,69.69,3.8,4,Medium
SUP-0221,Canada,105.93,14.4,85.7,1.59,2,Low
SUP-0222,Canada,121.07,18.58,80.95,3.16,1,Medium
SUP-0223,South Korea,85.46,17.72,86.22,2.92,6,Medium
SUP-0224,Mexico,128.35,13.71,91.74,0.2,7,Low
SUP-0225,Canada,99.99,16.57,89.5,3.41,3,Medium
SUP-0226,India,30,10.12,70.32,1.82,4,Low
SUP-0227,Germany,78.67,3,72.48,0.97,3,Low
SUP-0228,Germany,94.16,14.49,95.63,1.75,7,Low
SUP-0229,Brazil,137.71,21.56,93.23,3.61,4,Medium
SUP-0230,South Korea,61.5,14.87,80.49,5.12,4,Medium
SUP-0231,Brazil,60.57,22.5,86.7,0.9,7,Medium
SUP-0232,USA,166.08,16.96,73.46,2.7,6,Medium
SUP-0233,Japan,54.51,23.79,99,1.22,4,Low
SUP-0234,Germany,137.6,9.12,74.24,4.79,6,Medium
SUP-0235,Thailand,119.91,20.04,81.5,0.99,6,Medium
SUP-0236,USA,62.71,24.63,95.9,3.15,3,Medium
SUP-0237,Thailand,57.92,17.57,69.95,3.03,3,Low
SUP-0238,South Korea,167.84,13.43,87.72,4.5,5,Medium
SUP-0239,Japan,86.03,16.35,89.65,1.99,7,Medium
SUP-0240,India,92.92,11.64,83.55,3.04,6,Medium
SUP-0241,Germany,115.38,16.37,73.68,4.38,5,Medium
SUP-0242,India,155.07,21.31,77.54,3.33,6,Medium
SUP-0243,Canada,69.23,14.03,99,3.52,0,Low
SUP-0244,India,92.32,17.88,86.45,0.64,2,Low
SUP-0245,China,38.39,11.79,65.23,4.31,4,Low
SUP-0246,South Korea,44.54,20.09,88.06,2.2,6,Low
SUP-0247,Canada,97.2,9.97,99,2.84,9,Low
SUP-0248,India,150.36,9.54,80.61,4.26,7,Medium
SUP-0249,USA,110.63,14.76,78.35,4.47,1,Medium
SUP-0250,India,105.94,17.98,80.34,1.38,7,Medium
SUP-0251,Thailand,65.92,22.04,68.62,2.52,3,Medium
SUP-0252,Mexico,147.5,20.57,82.33,3.7,1,Medium
SUP-0253,USA,75.67,11.75,69.05,0.2,3,Medium
SUP-0254,Germany,84.8,6.1,81.58,3.23,2,Low
SUP-0255,Japan,166.57,16.4,85.51,3.19,4,Medium
SUP-0256,South Korea,110.83,7.13,83.84,0.2,5,Low
SUP-0257,Germany,56.78,13.25,95.41,2.98,0,Low
SUP-0258,Brazil,147.54,11.44,91.82,3.33,1,Medium
SUP-0259,China,79.9,11.92,84.28,4.92,6,Medium
SUP-0260,China,174.59,11.86,69.3,1.29,5,Medium
SUP-0261,China,85.79,20.34,63.51,2.14,3,Medium
SUP-0262,Germany,111.98,12.96,91.97,2.69,2,Low
SUP-0263,China,94.65,10.53,87.74,1.95,3,Low
SUP-0264,Thailand,85.93,14.11,87.22,3.89,3,Medium
SUP-0265,Mexico,54.21,18.12,97.85,4.52,8,Medium
SUP-0266,South Korea,96.23,8.09,67.1,0.85,5,Low
SUP-0267,China,76.31,20.5,87.63,2.64,2,Medium
SUP-0268,USA,78.32,16.65,80.78,3.69,3,Medium
SUP-0269,South Korea,99.55,10.88,83.87,0.2,4,Low
SUP-0270,Thailand,103.04,25.15,99,2.03,12,Medium
SUP-0271,Canada,107.36,12.28,76.02,2.97,5,Medium
SUP-0272,China,69.93,13.83,82.35,2.35,6,Low
SUP-0273,Japan,121.66,22.79,98.95,1.31,3,Medium
SUP-0274,Germany,93.77,19.66,82.69,3.16,4,Medium
SUP-0275,Canada,96.76,3,78.86,5.28,8,Medium
SUP-0276,USA,98.14,11.24,74.27,4.23,8,Medium
SUP-0277,China,79.31,7.36,92.91,2.48,6,Low
SUP-0278,Canada,169.1,13.9,70.36,1.37,6,Medium
SUP-0279,Brazil,112.99,5.15,85.12,0.74,1,Low
SUP-0280,Brazil,65.1,13.42,80.14,2.51,4,Low
SUP-0281,Brazil,106.02,19.92,94.04,5.53,1,Medium
SUP-0282,Canada,111.19,19.03,90.46,3.59,2,Medium
SUP-0283,Canada,59.68,11.5,80.0,1.86,6,Low
SUP-0284,Thailand,98.14,18.71,88.65,2.43,2,Low
SUP-0285,Canada,125.15,15.02,86.03,0.46,8,Medium
SUP-0286,South Korea,89.13,3.42,91.09,2.56,5,Low
SUP-0287,Brazil,134.92,21.36,99,6.2,3,Medium
SUP-0288,USA,104.75,14.54,56.31,0.67,5,Medium
SUP-0289,South Korea,105.06,10.62,79.44,3.99,8,Medium
SUP-0290,South Korea,76.53,5.2,68.49,3.85,3,High
SUP-0291,USA,52.72,16.47,89.2,2.19,7,Low
SUP-0292,USA,103.85,24.1,99,3.33,10,Medium
SUP-0293,Thailand,58.39,9.69,80.36,4.15,7,Low
SUP-0294,China,129.53,13.0,96.6,0.95,2,Low
SUP-0295,South Korea,86.27,13.47,75.97,4.79,2,Medium
SUP-0296,South Korea,119.85,16.88,91.84,3.05,2,Medium
SUP-0297,China,105.48,11.82,80.65,3.12,2,Low
SUP-0298,South Korea,111.24,14.15,90.74,0.95,0,Low
SUP-0299,Mexico,39.99,11.91,93.23,3.46,4,High
SUP-0300,Brazil,89.78,14.7,90.7,4.06,3,Medium
SUP-0301,Japan,165.84,9.08,99,6.97,3,Medium
SUP-0302,Japan,97.95,11.05,88.47,2.47,6,Low
SUP-0303,India,84.83,18.41,92.3,1.87,6,Medium
SUP-0304,India,49.59,18.13,79.07,1.35,6,Low
SUP-0305,Germany,132.89,14.65,70.22,1.79,4,Medium
SUP-0306,Thailand,114.03,16.94,73.81,1.71,1,Medium
SUP-0307,Canada,137.03,12.5,77.94,3.05,5,Medium
SUP-0308,Canada,77.45,18.22,99,6.76,4,Medium
SUP-0309,Mexico,136.95,11.49,84.93,1.46,5,Medium
SUP-0310,USA,76.81,15.08,94.82,4.99,6,Medium
SUP-0311,Canada,92.12,13.25,73.92,2.69,8,Medium
SUP-0312,China,100.04,23.11,85.97,1.75,0,Medium
SUP-0313,Mexico,126.83,11.0,84.79,5.08,4,Medium
SUP-0314,Mexico,123.06,10.44,91.31,0.2,1,Low
SUP-0315,Mexico,61.28,5.87,84.27,2.34,2,Low
SUP-0316,Germany,121.18,22.39,93.59,2.17,3,Medium
SUP-0317,Mexico,148.11,7.12,86.73,6.2,3,Medium
SUP-0318,Mexico,58.72,12.38,76.57,0.88,4,Low
SUP-0319,India,115.34,14.33,95.44,5.19,7,Medium
SUP-0320,Thailand,32.75,14.57,99,0.55,8,Low
SUP-0321,Germany,106.55,6.6,98.57,4.17,4,Low
SUP-0322,Mexico,106.21,9.39,98.42,4.45,4,Medium
SUP-0323,USA,60.07,7.47,77.15,3.33,2,Low
SUP-0324,Thailand,85.48,12.87,80.42,1.03,1,Low
SUP-0325,Mexico,91.69,18.86,85.22,2.15,3,Medium
SUP-0326,China,113.14,6.04,89.76,3.51,5,Low
SUP-0327,Brazil,66.08,12.27,93.22,3.23,7,Low
SUP-0328,South Korea,117.36,19.15,84.8,3.44,1,Medium
SUP-0329,Japan,78.55,12.67,80.0,3.56,4,Medium
SUP-0330,China,128.18,8.94,89.47,4.01,5,Medium
SUP-0331,Canada,78.55,12.17,90.67,3.8,7,Medium
SUP-0332,India,86.48,9.06,87.89,3.97,1,Low
SUP-0333,China,63.74,24.95,86.64,4.24,11,Medium
SUP-0334,Canada,77.57,22.55,80.49,2.44,6,Medium
SUP-0335,India,124.17,18.23,73.49,1.97,3,Medium
SUP-0336,Canada,60.52,17.21,81.59,3.84,0,Medium
SUP-0337,Canada,111.34,17.26,83.9,3.87,2,Medium
SUP-0338,Thailand,108.55,8.98,85.32,0.2,4,Low
SUP-0339,Brazil,171.77,17.01,78.53,0.38,0,Medium
SUP-0340,Japan,58.02,11.43,76.17,2.73,4,Low
SUP-0341,South Korea,121.35,13.07,85.36,2.32,6,Medium
SUP-0342,Brazil,107.34,8.28,77.66,1.59,5,Low
SUP-0343,Thailand,88.73,11.34,95.48,2.98,3,Low
SUP-0344,Germany,159.79,11.34,91.47,3.39,2,Medium
SUP-0345,Mexico,52.11,16.93,80.45,4.15,5,Medium
SUP-0346,Mexico,81.21,12.68,78.62,4.12,4,Medium
SUP-0347,Germany,79.59,18.6,66.63,3.63,3,Medium
SUP-0348,South Korea,80.97,20.78,86.52,3.65,8,Medium
SUP-0349,Japan,108.75,22.03,85.3,2.5,9,Medium
SUP-0350,India,131.29,14.8,88.65,2.17,2,Medium
SUP-0351,India,61.18,10.07,76.1,2.28,6,Low
SUP-0352,China,60.68,19.83,77.47,2.39,3,Low
SUP-0353,Mexico,113.84,21.02,73.62,2.89,6,Medium
SUP-0354,Brazil,117.49,11.5,70.5,4.91,4,Medium
SUP-0355,Germany,117.19,22.86,69.35,0.95,7,Medium
SUP-0356,South Korea,84.71,19.78,81.33,0.72,5,Low
SUP-0357,Canada,82.57,14.15,99,3.49,4,Low
SUP-0358,Germany,118.22,15.24,71.33,3.25,2,Medium
SUP-0359,Thailand,134.05,19.68,88.25,1.72,5,Medium
SUP-0360,Brazil,87.15,15.03,94.32,2.81,1,Low
SUP-0361,USA,68.6,15.44,88.38,1.53,9,Low
SUP-0362,Thailand,93.03,10.29,65.57,1.78,3,Low
SUP-0363,Japan,116.1,5.66,72.85,2.21,3,Low
SUP-0364,China,84.59,13.04,91.65,5.74,0,Medium
SUP-0365,Mexico,127.9,20.27,81.03,3.28,4,Medium
SUP-0366,Germany,138.18,14.02,99,4.2,1,Medium
SUP-0367,Canada,121.61,19.51,77.26,1.95,8,Medium
SUP-0368,South Korea,119.39,9.98,83.21,4.33,4,Medium
SUP-0369,India,42.37,9.04,86.54,2.46,8,Low
SUP-0370,Mexico,87.59,15.43,74.34,5.74,4,Medium
SUP-0371,India,107.87,10.0,72.6,2.09,2,Low
SUP-0372,USA,97.53,20.72,87.99,3.14,4,Medium
SUP-0373,Germany,93.97,14.07,90.49,2.74,4,Low
SUP-0374,Germany,80.22,21.21,69.48,4.18,6,Medium
SUP-0375,Germany,134.85,16.24,81.48,0.51,4,Medium
SUP-0376,Japan,100.64,11.36,84.77,3.34,8,High
SUP-0377,India,131.57,3,79.3,3.37,7,Low
SUP-0378,Mexico,107.69,17.81,89.78,2.55,7,Medium
SUP-0379,Germany,66.59,8.16,95.7,3.8,3,Low
SUP-0380,Japan,83.52,12.01,79.87,1.06,7,Low
SUP-0381,Mexico,108.12,12.34,95.57,4.7,3,Medium
SUP-0382,Japan,120.53,13.65,88.14,1.08,3,Low
SUP-0383,USA,120.37,8.01,80.15,4.72,0,Medium
SUP-0384,USA,92.02,15.87,66.63,3.1,7,Medium
SUP-0385,Thailand,151.71,18.52,93.44,3.11,3,Medium
SUP-0386,South Korea,122.12,8.97,95.34,3.3,0,Low
SUP-0387,USA,90.73,13.57,88.83,6.31,7,Medium
SUP-0388,Brazil,85.42,14.56,73.56,1.25,7,Low
SUP-0389,Germany,90.56,18.24,77.28,2.93,6,Medium
SUP-0390,Mexico,60.25,12.02,93.97,4.06,4,Low
SUP-0391,South Korea,125.81,18.58,97.93,3.75,4,Low
SUP-0392,USA,79.38,20.37,99,0.41,4,Low
SUP-0393,Germany,60.39,20.0,95.38,1.26,8,Low
SUP-0394,South Korea,138.48,13.75,87.6,2.54,1,Medium
SUP-0395,Brazil,72.48,18.53,75.26,2.41,4,Medium
SUP-0396,Mexico,108.97,14.81,95.81,5.88,6,Medium
SUP-0397,Canada,50.71,22.48,94.97,6.44,9,Medium
SUP-0398,South Korea,106.92,14.6,91.46,4.14,3,Medium
SUP-0399,Thailand,70.3,18.23,89.13,2.46,7,Medium
SUP-0400,Mexico,30,21.18,70.0,3.19,2,Low
SUP-0401,Canada,115.05,14.17,76.16,2.5,2,Medium
SUP-0402,Canada,71.65,22.65,83.76,2.79,1,Medium
SUP-0403,Germany,125.79,14.21,84.98,4.38,7,Medium
SUP-0404,USA,43.04,14.27,74.3,2.9,2,Low
SUP-0405,Japan,30,20.15,89.46,2.86,4,Low
SUP-0406,Brazil,103.83,4.92,95.04,0.59,6,Low
SUP-0407,Brazil,132.13,20.89,95.55,3.88,0,Medium
SUP-0408,China,125.76,20.76,65.61,0.78,7,Medium
SUP-0409,Canada,93.37,15.95,89.09,5.5,3,Medium
SUP-0410,Canada,86.15,13.01,88.67,1.38,8,Low
SUP-0411,Canada,93.57,16.52,92.35,4.91,6,Medium
SUP-0412,Germany,53.88,17.17,88.1,1.89,7,Low
SUP-0413,China,102.9,11.2,99,2.13,2,Low
SUP-0414,Mexico,81.94,14.91,78.82,5.82,5,Medium
SUP-0415,Germany,104.72,18.79,74.82,0.2,7,Medium
SUP-0416,Mexico,115.08,15.81,84.5,4.33,3,Medium
SUP-0417,India,146.45,22.31,99,4.07,1,Medium
SUP-0418,South Korea,114.64,12.75,78.37,3.21,6,Medium
SUP-0419,Germany,135.7,15.5,84.22,4.25,2,Medium
SUP-0420,South Korea,114.93,16.17,89.06,4.37,2,Medium
SUP-0421,Brazil,120.16,3,85.88,1.61,2,Low
SUP-0422,Brazil,85.46,12.27,91.15,5.0,5,Medium
SUP-0423,USA,107.21,8.73,75.72,4.55,5,Medium
SUP-0424,Japan,112.59,13.05,99,3.44,4,Medium
SUP-0425,Japan,30,7.48,66.12,5.26,6,Low
SUP-0426,India,94.02,16.67,69.49,3.31,4,Medium
SUP-0427,Thailand,59.44,11.5,95.26,7.13,7,Medium
SUP-0428,Canada,71.35,15.65,84.8,2.76,4,Low
SUP-0429,India,112.5,12.35,94.84,4.74,9,Medium
SUP-0430,USA,66.74,18.68,96.5,3.46,5,Medium
SUP-0431,India,123.13,12.81,93.37,2.46,6,Medium
